approach,term,vocabulary
Craniosacral Therapy,Approche Craniosacrale,Natrual Medicine
Craniosacral Therapy,Upledger Therapy,Natrual Medicine
Crystal Therapy,Crystal Therapy,Natrual Medicine
Crystal Therapy,Crystal Healing,Natrual Medicine
Crystal Therapy,Cristaux,Natrual Medicine
Cupping,Cupping,"Natrual Medicine,Mayo"
Cupping,Medicinal Cupping,Natrual Medicine
Cupping,Traditional Cupping,Natrual Medicine
Cupping,Cupping Massage,Natrual Medicine
Cupping,Ventosaterapia,"Natrual Medicine,Integrative Nursing, Duke"
Dance therapy,Dance therapy,"Natrual Medicine,Integrative Nursing, Duke, Cochrane"
Deep breathing,Deep breathing,"Natrual Medicine,Integrative Nursing, Mayo"
Deep breathing,Breathwork,"Natrual Medicine,Integrative Nursing, Duke"
Deep Tissue Massage,Deep Tissue Massage,"Mayo, Cochrane"
Deep Tissue Massage,Deep tissue bodywork,"Natrual Medicine,Duke, Cochrane"
Dialectical behavior therapy,Dialectical behavior therapy,Natrual Medicine
Distraction,Distraction,Integrative Nursing
Distraction,Nature,Integrative Nursing
Distraction,Virtual Reality,Integrative Nursing
Drama therapy,Drama therapy,"Duke, Cochrane"
Ear Candling,Ear Candling,"Natrual Medicine,Integrative Nursing, NCCIH, Lindquist"
Ear Candling,Auricular Candles,Natrual Medicine
Ear Candling,Ear Candle Treatment,Natrual Medicine
Ear Candling,Ear Candle Therapy,"Natrual Medicine,Integrative Nursing, NCCIH, Lindquist, Cochrane"
Ear Candling,Ear Coning,Natrual Medicine
Ear Candling,Chandelles Auriculaires,Natrual Medicine
Ear Candling,Ear Candle,"Natrual Medicine,Cochrane"
Educate patients on anticipating diarrhea with certain circumstances,Educate patients on anticipating diarrhea with certain circumstances,Integrative Nursing
Electrical or magnetic therapies,Electrical or magnetic therapies,"Integrative Nursing, NCCIH, Lindquist, Cochrane"
Electrodermal Testing,Electrodermal Testing,"Natrual Medicine,Integrative Nursing, NCCIH, Lindquist, Cochrane"
Emotional Freedom Techniques,Emotional Freedom Techniques,"Natrual Medicine,Integrative Nursing"
Energy field work,Energy field work,Cochrane
Energy management,Energy management,Integrative Nursing
Energy management awareness education,Energy management awareness education,Integrative Nursing
Energy Management Strategies,Energy Management Strategies,"Natrual Medicine, Integrative Nursing"
Energy Management Strategies,Energy conservation and restoration strategies,"Natrual Medicine,Integrative Nursing, NCCIH, Lindquist, Cochrane"
Energy Therapy,Energy Therapy,Natrual Medicine
Energy Therapy,Energy medicine,"Natrual Medicine,Integrative Nursing"
Energy Work,Energy Work,Natrual Medicine
Engaging in natural environments,Engaging in natural environments,"Natrual Medicine, Integrative Nursing"
Environmental therapy,Environmental therapy,"Natrual Medicine, Integrative Nursing, Cochrane"
Eurythmy,Eurythmy,"Natrual Medicine,Integrative Nursing"
Exercise,Exercise,"Integrative Nursing, Mayo"
Expressive Therapies,Expressive Therapies,Natrual Medicine
Expressive writing therapy,Expressive writing therapy,"Integrative Nursing, Lindquist, Cochrane"
Expressive writing therapy,Journaling,"Integrative Nursing, Lindquist, Cochrane"
Facening,Facening,"Natrual Medicine,Cochrane"
Facening,Facial Exercise,Natrual Medicine
Feldenkrais Method,Feldenkrais Method,"Natrual Medicine, NCCIH, Mayo, Duke, Cochrane"
Feldenkrais Method,Awareness Through Movement,Natrual Medicine
Feldenkrais Method,Feldenkrais Bodywork,Natrual Medicine
Feldenkrais Method,Gestalt Synergy,Natrual Medicine
Feng shui,Feng shui,"Natrual Medicine,Cochrane"
Flotation therapy,Flotation therapy,Duke
Focusing,Focusing,"Natrual Medicine,Integrative Nursing"
Focusing,Focusing-Oriented Therapy,Natrual Medicine
Focusing,Focusing Process,Natrual Medicine
Focusing,Focusing Therapy,Natrual Medicine
Functional medicine,Functional medicine,"Integrative Nursing, Duke"
Gentle activity of preference,Gentle activity of preference,Integrative Nursing
Gestalt therapy,Gestalt therapy,Cochrane
Guided Imagery,Guided Imagery,Natrual Medicine
Guided Imagery,Guided Health Imagery,Natrual Medicine
Guided Imagery,Visualisation,"Natrual Medicine,Integrative Nursing, NCCIH, Lindquist, Mayo, Duke"
Guided Imagery,Guided Visualization,Natrual Medicine
Guided Imagery,Visualization,Natrual Medicine
Guided Imagery,Visualization Therapy,Natrual Medicine
Guided Imagery,Imagery,Natrual Medicine
Guided physical activities,Guided physical activities,Integrative Nursing
Healing Touch,Healing Touch,"Natrual Medicine, Integrative Nursing, NCCIH, Lindquist, Mayo, Duke"
Healing Touch,Touch Therapy,Natrual Medicine
Healing Touch,Energy Healing,"Natrual Medicine,Integrative Nursing"
Healing Touch,Touch,"Natrual Medicine, Integrative Nursing, SNOMED"
