approach,term,vocabulary
Psychodynamic Group Art Therapy,Psychodynamic Group Art Therapy,"Natrual Medicine,Integrative Nursing, Lindquist, Mayo, Duke, Cochrane"
Creative Arts Therapy,Creative Arts Therapy,Natrual Medicine
Creative Arts Intervention,Creative Arts Intervention,"Natrual Medicine,Integrative Nursing, NCCIH, Lindquist"
Creative Expression,Creative Expression,"Natrual Medicine,Duke"
artistic therapies-painting,artistic therapies-painting,Duke
Chinese Calligraphy Therapy,Chinese Calligraphy Therapy,Natrual Medicine
Clay Art Therapy,Clay Art Therapy,Natrual Medicine
Anthroposophic Art Therapy,Anthroposophic Art Therapy,Natrual Medicine
Autorelaxation Concentrative,Autorelaxation Concentrative,"Natrual Medicine,Mayo"
Standard Autogenic Training,Standard Autogenic Training,"Natrual Medicine,Integrative Nursing"
Prana (elements of Ayurveda),Prana (elements of Ayurveda),Mayo
Doshas (elements of Ayurveda),Doshas (elements of Ayurveda),Mayo
Prakriti (elements of Ayurveda),Prakriti (elements of Ayurveda),Mayo
Body-Oriented Psychotherapy,Body-Oriented Psychotherapy,Natrual Medicine
Body Psychotherapy,Body Psychotherapy,Natrual Medicine
Heart Rate Variability Biofeedback,Heart Rate Variability Biofeedback,Natrual Medicine
Electroencephalogram Biofeedback,Electroencephalogram Biofeedback,"Natrual Medicine,MESH"
Assisted Biofeedback,Assisted Biofeedback,Natrual Medicine
Biofeedback for stress management,Biofeedback for stress management,Mayo
Neurofeedback,Neurofeedback,Natrual Medicine
Eucapnic Buteyko Breathing,Eucapnic Buteyko Breathing,"Natrual Medicine,Duke"
Tui na,Tui na,Natrual Medicine
Manipulation Rachidienne,Manipulation Rachidienne,Natrual Medicine
Subluxation,Subluxation,Natrual Medicine
Grief Counseling,Grief Counseling,"Natrual Medicine,Integrative Nursing"
Lifestyle counseling,Lifestyle counseling,Mayo
Biographical counseling,Biographical counseling,Duke
Traitement Craniosacral,Traitement Craniosacral,Natrual Medicine
Terapia de Cristal,Terapia de Cristal,Natrual Medicine
Crystals,Crystals,Natrual Medicine
Electrocrystal Therapy,Electrocrystal Therapy,Natrual Medicine
Blood-Letting Cupping,Blood-Letting Cupping,Natrual Medicine
Retained Cupping,Retained Cupping,Natrual Medicine
Multiple Cupping,Multiple Cupping,Natrual Medicine
Dry Cupping,Dry Cupping,Natrual Medicine
Needle Cupping,Needle Cupping,Natrual Medicine
Liquid Cupping,Liquid Cupping,Natrual Medicine
Flash Cupping,Flash Cupping,Natrual Medicine
Wet Cupping,Wet Cupping,Natrual Medicine
Water Cupping,Water Cupping,Natrual Medicine
Fire-Cupping,Fire-Cupping,Natrual Medicine
Hijamat,Hijamat,Natrual Medicine
Shuiguanfa,Shuiguanfa,Natrual Medicine
Moving Cupping,Moving Cupping,Natrual Medicine
Wet-Cupping,Wet-Cupping,Natrual Medicine
Momentary Cupping,Momentary Cupping,Natrual Medicine
Bleeding Cupping,Bleeding Cupping,Natrual Medicine
Pulsating Cupping,Pulsating Cupping,Natrual Medicine
Bougie Hopi,Bougie Hopi,Natrual Medicine
Thermal-Auricular Therapy,Thermal-Auricular Therapy,Natrual Medicine
Bougie Creuse,Bougie Creuse,Natrual Medicine
Bougie d'Oreille,Bougie d'Oreille,"Natrual Medicine,Cochrane"
principles of energy conservation,principles of energy conservation,Natrual Medicine
energy management awarness education,energy management awarness education,Natrual Medicine
Putative energy therapy,Putative energy therapy,"Natrual Medicine,Integrative Nursing, Cochrane"
Veritable energy therapy,Veritable energy therapy,Natrual Medicine
harmonious rhythm,harmonious rhythm,"Natrual Medicine,Integrative Nursing"
walking,walking,Integrative Nursing
swimming,swimming,Integrative Nursing
biking,biking,Integrative Nursing
hiking,hiking,Integrative Nursing
jogging,jogging,Integrative Nursing
Motor control exercuse,Motor control exercuse,Natrual Medicine
Self-Expression,Self-Expression,Natrual Medicine
Creative Arts Therapies,Creative Arts Therapies,Natrual Medicine
Expressive Therapists,Expressive Therapists,Natrual Medicine
Facial Resistance Training,Facial Resistance Training,Natrual Medicine
Face Shaping,Face Shaping,Natrual Medicine
Face Yoga,Face Yoga,"Natrual Medicine,Duke"
Functional Integration,Functional Integration,Natrual Medicine
Attentional Focus,Attentional Focus,Natrual Medicine
Interactive Focusing Therapy,Interactive Focusing Therapy,"Natrual Medicine,Mayo"
Body-State Focusing,Body-State Focusing,Natrual Medicine
Internal Focusing,Internal Focusing,"Natrual Medicine,Cochrane"
Focus on love and gratitude,Focus on love and gratitude,Mayo
External Focusing,External Focusing,Natrual Medicine
Bioenergy Healing,Bioenergy Healing,"Natrual Medicine,Integrative Nursing"
Hot compresses,Hot compresses,"Natrual Medicine,Duke"
Structural Integration,Structural Integration,Natrual Medicine
Deep Tissue Bodywork and Movement Education,Deep Tissue Bodywork and Movement Education,"Natrual Medicine,Mayo"
Laughter therapy,Laughter therapy,Cochrane
soaks in hot springs,soaks in hot springs,Mayo
Post-Hypnotic Suggestion,Post-Hypnotic Suggestion,Natrual Medicine
Auto-Hypnosis,Auto-Hypnosis,Natrual Medicine
Hypnobirthing,Hypnobirthing,"Natrual Medicine,Duke"
relaxation mental imagery,relaxation mental imagery,Natrual Medicine
Cognitive Hypnotherapy,Cognitive Hypnotherapy,"Natrual Medicine,Lindquist"
Altered States Of Consciousness,Altered States Of Consciousness,Natrual Medicine
Circular Yoga,Circular Yoga,Natrual Medicine
Roya Yoga,Roya Yoga,Natrual Medicine
Coiled Yoga,Coiled Yoga,Natrual Medicine
Photodynamic Therapy,Photodynamic Therapy,Natrual Medicine
Dead Sea Climatotherapy,Dead Sea Climatotherapy,Natrual Medicine
Fiber-Optic Phototherapy,Fiber-Optic Phototherapy,Natrual Medicine
Bright Light Therapy,Bright Light Therapy,Natrual Medicine
Nontargeted Light Therapy,Nontargeted Light Therapy,Natrual Medicine
Light-Emitting Diode phototherapy,Light-Emitting Diode phototherapy,Natrual Medicine
Photobiology,Photobiology,Natrual Medicine
Targeted Light Therapy,Targeted Light Therapy,Natrual Medicine
Acu-Light Therapy,Acu-Light Therapy,Natrual Medicine
Photosensitizers,Photosensitizers,Natrual Medicine
Esogetic Colorpuncture,Esogetic Colorpuncture,Natrual Medicine
Light Irradiation,Light Irradiation,Natrual Medicine
Ocular Light Therapy,Ocular Light Therapy,"Natrual Medicine,Integrative Nursing"
Irradiation,Irradiation,Natrual Medicine
Photochemotherapy,Photochemotherapy,Natrual Medicine
Reprocessing Light Therapy,Reprocessing Light Therapy,Natrual Medicine
Balneophototherapy,Balneophototherapy,"Natrual Medicine,Integrative Nursing, NCCIH, Lindquist, Cochrane"
Magnetic Bands,Magnetic Bands,Natrual Medicine
Biomagnetism,Biomagnetism,Natrual Medicine
Transcranial Magnetic Stimulation,Transcranial Magnetic Stimulation,"Natrual Medicine,Integrative Nursing, Lindquist, Duke, Cochrane"
Electromagnetic Therapy,Electromagnetic Therapy,Natrual Medicine
Magnets,Magnets,Natrual Medicine
Static Magnet Therapy,Static Magnet Therapy,Natrual Medicine
Pulsed Electromagnetic Therapy,Pulsed Electromagnetic Therapy,Natrual Medicine
Magnetic Mattress,Magnetic Mattress,Natrual Medicine
Aimant Statique,Aimant Statique,Natrual Medicine
Repetitive Magnetic Stimulation,Repetitive Magnetic Stimulation,Natrual Medicine
Magnetic Stimulation,Magnetic Stimulation,Natrual Medicine
Magnetic Bracelet,Magnetic Bracelet,Natrual Medicine
Aimant,Aimant,Natrual Medicine
Magnetic Necklace,Magnetic Necklace,Natrual Medicine
Repetitive Transcranial Magnetic Therapy,Repetitive Transcranial Magnetic Therapy,Natrual Medicine
Static Magnet,Static Magnet,Natrual Medicine
Concentrative Meditation,Concentrative Meditation,Natrual Medicine
body scanning,body scanning,Mayo
mindfulness meditation,mindfulness meditation,"Natrual Medicine,Mayo, Duke"
meditation with yoga-Tai chi-Qi gong,meditation with yoga-Tai chi-Qi gong,Mayo
Transcendental meditation,Transcendental meditation,"Natrual Medicine,SNOMED, Mayo, Duke"
Indian head massage,Indian head massage,"Integrative Nursing, NCCIH, Lindquist"
Connective Tissue Manipulation,Connective Tissue Manipulation,Natrual Medicine
Hand Massage,Hand Massage,Natrual Medicine
Abdominal Massage,Abdominal Massage,"Natrual Medicine, Integrative Nursing, NCCIH, Lindquist"
Aromatherapy Massage,Aromatherapy Massage,"Natrual Medicine,Cochrane"
Roll-stretch Massage,Roll-stretch Massage,Natrual Medicine
hot stone massage,hot stone massage,"Natrual Medicine, Integrative Nursing, NCCIH, Lindquist"
Oriental massage,Oriental massage,"Integrative Nursing, NCCIH, Lindquist"
Digital Massage,Digital Massage,Natrual Medicine
Therapeutic Massage,Therapeutic Massage,"Natrual Medicine,Integrative Nursing, NCCIH, Lindquist"
Petrissage,Petrissage,Natrual Medicine
Anma,Anma,Cochrane
Infant Massage,Infant Massage,Natrual Medicine
Prostate Massage,Prostate Massage,Natrual Medicine
Deep Transverse Friction Massage,Deep Transverse Friction Massage,Natrual Medicine
Lomilomi Massage,Lomilomi Massage,Natrual Medicine
Tibetan Massage,Tibetan Massage,Natrual Medicine
Esalen Massage,Esalen Massage,Natrual Medicine
Acupuncture Massage,Acupuncture Massage,Natrual Medicine
Perineal Massage,Perineal Massage,Natrual Medicine
Abdominal Meridian Massage,Abdominal Meridian Massage,Natrual Medicine
Oil Massage,Oil Massage,"Natrual Medicine,Integrative Nursing, NCCIH, Lindquist, Cochrane"
swedish massage,swedish massage,"Natrual Medicine, Integrative Nursing, NCCIH, Lindquist"
Marma Massage Therapy,Marma Massage Therapy,"Natrual Medicine,Integrative Nursing, NCCIH, Lindquist"
Rhythmical Massage,Rhythmical Massage,Natrual Medicine
Qigong Massage,Qigong Massage,Natrual Medicine
Effleurage Massage,Effleurage Massage,Natrual Medicine
Classical Massage,Classical Massage,"Natrual Medicine,Integrative Nursing, NCCIH, Lindquist"
sports massage,sports massage,"Natrual Medicine, Integrative Nursing, NCCIH, Lindquist"
soft-tissue massage,soft-tissue massage,"Integrative Nursing, NCCIH, Lindquist"
Aston massage,Aston massage,"Integrative Nursing, NCCIH, Lindquist"
Bindegewebsmassage,Bindegewebsmassage,Natrual Medicine
arthorkinestics massage,arthorkinestics massage,"Integrative Nursing, NCCIH, Lindquist"
Thai Massage,Thai Massage,"Natrual Medicine,Integrative Nursing, NCCIH, Lindquist"
Chair Massage,Chair Massage,Natrual Medicine
myokinetics massage,myokinetics massage,"Integrative Nursing, NCCIH, Lindquist"
Ice Massage,Ice Massage,Natrual Medicine
Integrative Massage,Integrative Massage,"Natrual Medicine,Integrative Nursing, NCCIH, Lindquist, Cochrane"
Skin Rehabilitation Massage Therapy,Skin Rehabilitation Massage Therapy,"Natrual Medicine,Integrative Nursing, NCCIH, Lindquist, Cochrane"
Connective Tissue Massage,Connective Tissue Massage,"Natrual Medicine,Mayo"
gentle abdmonial massage,gentle abdmonial massage,"Mayo, Duke"
Esalen,Esalen,Mayo
Deep-tissue Massage,Deep-tissue Massage,"Natrual Medicine,Integrative Nursing, NCCIH, Lindquist, Cochrane"
Deep massage,Deep massage,"Natrual Medicine,Integrative Nursing, NCCIH, Lindquist, Cochrane"
Arthrokinetics massage,Arthrokinetics massage,"Integrative Nursing, NCCIH, Lindquist"
"Medicine, African Traditional","Medicine, African Traditional","MESH, Cochrane"
"Medicine, Arabic","Medicine, Arabic",Cochrane
"Medicine, East Asian Traditional","Medicine, East Asian Traditional",Cochrane
Japanese traditional medicine,Japanese traditional medicine,"Natrual Medicine,Cochrane"
Traditional Indian medicine,Traditional Indian medicine,Cochrane
Yunani medicine,Yunani medicine,"Duke,Cochrane"
Traditional Korean medicine,Traditional Korean medicine,Cochrane
Unani medicine,Unani medicine,"Natrual Medicine,Cochrane"
Siddha medicine,Siddha medicine,"Natrual Medicine,Cochrane"
Kampo Medicine,Kampo Medicine,Natrual Medicine
walking medication,walking medication,Mayo
guided medication,guided medication,Mayo
breath medication,breath medication,Mayo
Analytical medication,Analytical medication,"Integrative Nursing, NCCIH, Lindquist, Cochrane"
Vipassana meditation,Vipassana meditation,Duke
Zen Meditation,Zen Meditation,Duke
Mindfulness-based Relapse Prevention,Mindfulness-based Relapse Prevention,Natrual Medicine
Cognitive-Behavioral and Mindfulness-Based Stress Reduction,Cognitive-Behavioral and Mindfulness-Based Stress Reduction,Natrual Medicine
Adapted Mindfulness-Based Intervention,Adapted Mindfulness-Based Intervention,Natrual Medicine
Mindfulness and Acceptance-Based Group Therapy,Mindfulness and Acceptance-Based Group Therapy,Natrual Medicine
Mindfulness Awareness Practice,Mindfulness Awareness Practice,"Integrative Nursing, Mayo, Duke"
Mindfulness-Based Intervention for Social Anxiety Disorder,Mindfulness-Based Intervention for Social Anxiety Disorder,Natrual Medicine
Mindfulness-Based Cognitive Therapy,Mindfulness-Based Cognitive Therapy,Natrual Medicine
Mindfulness-Based Alzheimer Stimulation,Mindfulness-Based Alzheimer Stimulation,Integrative Nursing
Mindfulness-Based Exposure Therapy,Mindfulness-Based Exposure Therapy,Cochrane
Mindfulness-Based Art Therapy,Mindfulness-Based Art Therapy,Integrative Nursing
Aconite Cake-Separated Moxibustion,Aconite Cake-Separated Moxibustion,Natrual Medicine
Acu-Moxi,Acu-Moxi,Natrual Medicine
Acu-Moxibustion,Acu-Moxibustion,Natrual Medicine
Angelica-Cake Moxibustion,Angelica-Cake Moxibustion,Natrual Medicine
Bird-Pecking Moxibustion,Bird-Pecking Moxibustion,Natrual Medicine
Chinetsukyu (Japanese),Chinetsukyu (Japanese),Natrual Medicine
Cake-Separated Mild-Warm Moxibustion,Cake-Separated Mild-Warm Moxibustion,Natrual Medicine
Cake-Separated Moxibustion,Cake-Separated Moxibustion,Natrual Medicine
Circling Moxibustion,Circling Moxibustion,Natrual Medicine
Cone Moxibustion,Cone Moxibustion,Natrual Medicine
Cotton Sheet Moxibustion,Cotton Sheet Moxibustion,Natrual Medicine
Crude Herb Moxibustion,Crude Herb Moxibustion,Natrual Medicine
Direct Cone Moxibustion,Direct Cone Moxibustion,Natrual Medicine
Drug-Separated Moxibustion,Drug-Separated Moxibustion,Natrual Medicine
Du-Moxibustion,Du-Moxibustion,Natrual Medicine
Dynamic Moxibustion,Dynamic Moxibustion,Natrual Medicine
Electric Heating Moxibustion,Electric Heating Moxibustion,Natrual Medicine
Electronic Moxibustion,Electronic Moxibustion,Natrual Medicine
Electrothermal Bian-Stone Moxibustion,Electrothermal Bian-Stone Moxibustion,Natrual Medicine
Fu-Yang Moxibustion,Fu-Yang Moxibustion,Natrual Medicine
Garlic Moxibustion,Garlic Moxibustion,Natrual Medicine
Ginger-Indirect Moxibustion,Ginger-Indirect Moxibustion,Natrual Medicine
Ginger-Partitioned Moxibustion,Ginger-Partitioned Moxibustion,Natrual Medicine
Ginger-Salt-Partitioned Moxibustion,Ginger-Salt-Partitioned Moxibustion,Natrual Medicine
Ginger-Separated Moxibustion,Ginger-Separated Moxibustion,Natrual Medicine
Governor Moxibustion,Governor Moxibustion,Natrual Medicine
Grain-Shaped Moxibustion,Grain-Shaped Moxibustion,Natrual Medicine
Hand Moxibustion,Hand Moxibustion,Natrual Medicine
Hanging Moxibustion,Hanging Moxibustion,Natrual Medicine
Heat-Sensitive Moxibustion,Heat-Sensitive Moxibustion,Natrual Medicine
Herb-Cake Seperated Moxibustion,Herb-Cake Seperated Moxibustion,Natrual Medicine
Herb-Partitioned Spread Moxibustion,Herb-Partitioned Spread Moxibustion,Natrual Medicine
Herbal-Moxa Moxibustion,Herbal-Moxa Moxibustion,Natrual Medicine
Indirect Moxibustion,Indirect Moxibustion,Natrual Medicine
Infrared Laser Moxibustion,Infrared Laser Moxibustion,Natrual Medicine
Isolated Moxibustion,Isolated Moxibustion,Natrual Medicine
Isolated-Herbal Moxibustion,Isolated-Herbal Moxibustion,Natrual Medicine
Kyutoshin (Japanese),Kyutoshin (Japanese),Natrual Medicine
Laser Moxibustion,Laser Moxibustion,Natrual Medicine
Long Snake Moxibustion,Long Snake Moxibustion,Natrual Medicine
Medicated Thread Moxibustion,Medicated Thread Moxibustion,Natrual Medicine
Medicated Threads Moxibustion of Zhuang Nationality,Medicated Threads Moxibustion of Zhuang Nationality,Natrual Medicine
Mild Moxibustion,Mild Moxibustion,Natrual Medicine
Mild-Warm Moxibustion,Mild-Warm Moxibustion,Natrual Medicine
Monkshood Cake-Separated Mild-Warm Moxibustion,Monkshood Cake-Separated Mild-Warm Moxibustion,Natrual Medicine
Moving Moxibustion,Moving Moxibustion,Natrual Medicine
Moxa,Moxa,Natrual Medicine
Moxa-Cone Moxibustion,Moxa-Cone Moxibustion,Natrual Medicine
Moxa-Stick Moxibustion,Moxa-Stick Moxibustion,Natrual Medicine
Moxibustion Box,Moxibustion Box,Natrual Medicine
Okyu (Japanese),Okyu (Japanese),Natrual Medicine
Panlong Moxibustion,Panlong Moxibustion,Natrual Medicine
Partition-Bran Moxibustion,Partition-Bran Moxibustion,Natrual Medicine
Partition-Herb Moxibustion,Partition-Herb Moxibustion,Natrual Medicine
Pecking Moxibustion,Pecking Moxibustion,Natrual Medicine
Rice-Sized Direct Moxa,Rice-Sized Direct Moxa,Natrual Medicine
Snake Moxibustion,Snake Moxibustion,Natrual Medicine
Solar-Term Moxibustion,Solar-Term Moxibustion,Natrual Medicine
Sparrow-Pecking Moxibustion,Sparrow-Pecking Moxibustion,Natrual Medicine
Substance-Partitioned Moxibustion,Substance-Partitioned Moxibustion,Natrual Medicine
Suspended Moxibustion,Suspended Moxibustion,Natrual Medicine
Thin Cotton Moxibustion,Thin Cotton Moxibustion,Natrual Medicine
Thunder-Fire Moxibustion,Thunder-Fire Moxibustion,Natrual Medicine
Tortoise-Shell Moxibustion,Tortoise-Shell Moxibustion,Natrual Medicine
Traditional Box Moxibustion,Traditional Box Moxibustion,Natrual Medicine
Warm-Needle Moxibustion,Warm-Needle Moxibustion,Natrual Medicine
Warming Moxibustion,Warming Moxibustion,Natrual Medicine
Warming Needle Moxibustion,Warming Needle Moxibustion,Natrual Medicine
Warming-Cup Moxibustion,Warming-Cup Moxibustion,Natrual Medicine
Zhuang Medicated Thread Moxibustion,Zhuang Medicated Thread Moxibustion,Natrual Medicine
Musical Games,Musical Games,Natrual Medicine
Orff-Based Music Therapy,Orff-Based Music Therapy,Natrual Medicine
Lyric Analysis,Lyric Analysis,Natrual Medicine
Musical Motor Feedback,Musical Motor Feedback,Natrual Medicine
Evocative Music,Evocative Music,Natrual Medicine
Expressive Therapy,Expressive Therapy,Natrual Medicine
Ragas,Ragas,Natrual Medicine
Lullaby Therapy,Lullaby Therapy,"Natrual Medicine,MESH, Duke"
Dinner Music Intervention,Dinner Music Intervention,Natrual Medicine
Mandalas,Mandalas,Natrual Medicine
Interactive Music Therapy,Interactive Music Therapy,Natrual Medicine
Active Music Therapy,Active Music Therapy,Natrual Medicine
Music Stimulation,Music Stimulation,Natrual Medicine
Music-Reinforced Therapy,Music-Reinforced Therapy,Natrual Medicine
Group Chanting and Singing,Group Chanting and Singing,"Natrual Medicine,SNOMED, Integrative Nursing, Duke, Cochrane"
Music Listening Intervention,Music Listening Intervention,"Natrual Medicine,SNOMED, Integrative Nursing, Duke, Cochrane"
Musicokinetic Therapy,Musicokinetic Therapy,"Natrual Medicine,SNOMED, Integrative Nursing, Duke, Cochrane"
Calming Music Therapy,Calming Music Therapy,"Natrual Medicine,SNOMED, Integrative Nursing, Duke, Cochrane"
Music-Based Intervention,Music-Based Intervention,"Natrual Medicine,SNOMED, Integrative Nursing, Duke, Cochrane"
Live Music Therapy,Live Music Therapy,"Natrual Medicine,SNOMED, Integrative Nursing, Duke, Cochrane"
Group Drumming,Group Drumming,Natrual Medicine
Instructional Music Therapy,Instructional Music Therapy,Natrual Medicine
Improvisational Music Therapy,Improvisational Music Therapy,Natrual Medicine
Music And Movement,Music And Movement,Natrual Medicine
Music-Assisted Progressive Muscle Relaxation,Music-Assisted Progressive Muscle Relaxation,"Natrual Medicine,Integrative Nursing, NCCIH, Lindquist"
Contingent Music,Contingent Music,"Natrual Medicine,Cochrane"
Medical Resonance Therapy Music,Medical Resonance Therapy Music,"Natrual Medicine,Integrative Nursing, Duke, Cochrane"
Music-Video Therapy,Music-Video Therapy,"Natrual Medicine,Integrative Nursing, Mayo"
Music Exposure Therapy,Music Exposure Therapy,"Natrual Medicine,Integrative Nursing, NCCIH, Lindquist"
Karaoke Therapy,Karaoke Therapy,"Natrual Medicine,Integrative Nursing, NCCIH, Lindquist"
Individualized Music-Focused Auditory Therapy,Individualized Music-Focused Auditory Therapy,"Natrual Medicine,Integrative Nursing, NCCIH, Lindquist, Cochrane"
Music-Assisted Reframing,Music-Assisted Reframing,Natrual Medicine
Music-Based Imagery,Music-Based Imagery,"Natrual Medicine,Integrative Nursing"
bathing,bathing,"Natrual Medicine,Integrative Nursing, NCCIH, Lindquist"
gardening,gardening,"Natrual Medicine,Duke"
Cochrane,Cochrane,Natrual Medicine
Osteopathie,Osteopathie,"Natrual Medicine,Integrative Nursing, Lindquist, Cochrane"
Noetic Therapy,Noetic Therapy,"Natrual Medicine,MESH, Cochrane"
Divining,Divining,Natrual Medicine
Compassion and Healing,Compassion and Healing,Natrual Medicine
Faith Healing,Faith Healing,Natrual Medicine
Intercessory Prayer,Intercessory Prayer,"Natrual Medicine,Integrative Nursing, NCCIH, Lindquist"
Compassionate Intention,Compassionate Intention,"Natrual Medicine,Integrative Nursing, NCCIH, Lindquist"
Remote Healing,Remote Healing,Natrual Medicine
Native American Faith Healing,Native American Faith Healing,"Natrual Medicine,Integrative Nursing, Cochrane"
Acceptance and Commitment Therapy,Acceptance and Commitment Therapy,"Natrual Medicine,Cochrane"
Chan Mi Gong,Chan Mi Gong,"Natrual Medicine,Integrative Nursing, NCCIH, Lindquist"
Dongeui Qi Gong,Dongeui Qi Gong,Natrual Medicine
Qi Gong Yangsheng,Qi Gong Yangsheng,Natrual Medicine
External Qi Gong Therapy,External Qi Gong Therapy,Natrual Medicine
Yi Jia Gong,Yi Jia Gong,Natrual Medicine
Biyun Method,Biyun Method,"Natrual Medicine,Cochrane"
Guolin,Guolin,Natrual Medicine
Dantian,Dantian,Natrual Medicine
Qigong Healer,Qigong Healer,"Natrual Medicine,Cochrane"
Biyun Qi Gong,Biyun Qi Gong,"Natrual Medicine,NCCIH, Lindquist, Integrative Nursing, Mayo, Duke"
Eight-Section Brocades Qi Gong,Eight-Section Brocades Qi Gong,Natrual Medicine
Five Animals Qi Gong,Five Animals Qi Gong,Natrual Medicine
Daoyin Qi Gong,Daoyin Qi Gong,Natrual Medicine
Ba Duan Jin,Ba Duan Jin,"Natrual Medicine,SNOMED, Cochrane"
Ear Reflexology,Ear Reflexology,Natrual Medicine
Hand Reflexology,Hand Reflexology,"Natrual Medicine,Integrative Nursing"
Foot Reflexology,Foot Reflexology,Natrual Medicine
Foot Therapy,Foot Therapy,Natrual Medicine
Lymphatic Reflexology,Lymphatic Reflexology,Natrual Medicine
Reflexologist,Reflexologist,Natrual Medicine
Buddhist Reiki,Buddhist Reiki,Natrual Medicine
Applied Relaxation,Applied Relaxation,Natrual Medicine
Relaxation Training,Relaxation Training,Natrual Medicine
Abbreviated Muscle Relaxation Therapy,Abbreviated Muscle Relaxation Therapy,Natrual Medicine
Rolfing Structural Integration,Rolfing Structural Integration,Natrual Medicine
Rolfer,Rolfer,Natrual Medicine
Namikoshi Shiatsu,Namikoshi Shiatsu,Natrual Medicine
Tao Shiatsu,Tao Shiatsu,Natrual Medicine
Shiatsu Japonais,Shiatsu Japonais,Natrual Medicine
Meridian Shiatsu,Meridian Shiatsu,Natrual Medicine
Finger Pressure,Finger Pressure,Natrual Medicine
Quantum Shiatsu,Quantum Shiatsu,Natrual Medicine
Japanese Shiatsu,Japanese Shiatsu,Natrual Medicine
Ohashiatsu,Ohashiatsu,Natrual Medicine
Shiatsu Ryoho,Shiatsu Ryoho,Natrual Medicine
Shiatsupractor,Shiatsupractor,Natrual Medicine
Zen Shiatsu,Zen Shiatsu,Natrual Medicine
Tsubo Shiatsu,Tsubo Shiatsu,Natrual Medicine
Jaladhara,Jaladhara,Natrual Medicine
Thyladhara,Thyladhara,Natrual Medicine
Ksheeradhara,Ksheeradhara,Natrual Medicine
Thakradhara,Thakradhara,"Natrual Medicine,Integrative Nursing"
Ayurvedic Shirodhara,Ayurvedic Shirodhara,Natrual Medicine
bereavement group,bereavement group,Natrual Medicine
Ceremonies,Ceremonies,Natrual Medicine
Art Martial Interne,Art Martial Interne,Natrual Medicine
Moving Meditation,Moving Meditation,"Natrual Medicine,Integrative Nursing, NCCIH, Lindquist, Mayo, Duke, Cochrane"
Internal Martial Art,Internal Martial Art,Natrual Medicine
Trager Psychophysical Integration Therapy,Trager Psychophysical Integration Therapy,Natrual Medicine
Massage Trager,Massage Trager,Natrual Medicine
Terapia Trager,Terapia Trager,Natrual Medicine
Trager Re-education Therapy,Trager Re-education Therapy,Natrual Medicine
Approche Pyscho-corporelle,Approche Pyscho-corporelle,Natrual Medicine
Mentastics,Mentastics,Natrual Medicine
Trager Mentastics,Trager Mentastics,Natrual Medicine
Acupoint Electrical Stimulation,Acupoint Electrical Stimulation,Natrual Medicine
Acupuncture Point Stimulation,Acupuncture Point Stimulation,Natrual Medicine
Acustimulation Wristbands,Acustimulation Wristbands,Natrual Medicine
Transcutaneous Acupoint Electrical Stimulation,Transcutaneous Acupoint Electrical Stimulation,Natrual Medicine
Positional Release Therapy,Positional Release Therapy,Natrual Medicine
Dry Needling,Dry Needling,Natrual Medicine
Deep Dry Needling,Deep Dry Needling,Natrual Medicine
Trigger Point Management,Trigger Point Management,Natrual Medicine
Trigger Point Injection,Trigger Point Injection,Natrual Medicine
Reflex locomotion,Reflex locomotion,Cochrane
Laughter Yoga,Laughter Yoga,"Natrual Medicine,Cochrane"
Pranayama,Pranayama,Natrual Medicine
Sudarshana Kriya Yoga,Sudarshana Kriya Yoga,Natrual Medicine
Kripalu Yoga,Kripalu Yoga,Natrual Medicine
Yoga Bikram,Yoga Bikram,Natrual Medicine
Yoga Meditation,Yoga Meditation,Natrual Medicine
Ashtanga,Ashtanga,Duke
Yoga breathing and gentle stretching,Yoga breathing and gentle stretching,Integrative nursing
Tibetan Yoga,Tibetan Yoga,Natrual Medicine
Chair yoga,Chair yoga,Integrative Nursing
Sivananda Yoga,Sivananda Yoga,Natrual Medicine
Hot Yoga,Hot Yoga,Natrual Medicine
Tantra Yoga,Tantra Yoga,Natrual Medicine
Vinyasa Yoga,Vinyasa Yoga,Natrual Medicine
Ashtanga Yoga,Ashtanga Yoga,Natrual Medicine
Creative Yoga,Creative Yoga,Natrual Medicine
Bikram,Bikram,Duke
Relaxing Yoga,Relaxing Yoga,Natrual Medicine
Yoga Practice,Yoga Practice,Natrual Medicine
Iyengar,Iyengar,Duke
Power Yoga,Power Yoga,Natrual Medicine
Relaxation Yogique,Relaxation Yogique,Natrual Medicine
Bikram Yoga,Bikram Yoga,Natrual Medicine
Yoga Iyengar,Yoga Iyengar,Natrual Medicine
Surya Namaskara,Surya Namaskara,Natrual Medicine
Asana,Asana,Natrual Medicine
Yoga de Relaxation,Yoga de Relaxation,Natrual Medicine
Karma,Karma,"Natrual Medicine,Duke"
Kundalini Yyoga,Kundalini Yyoga,Natrual Medicine
Yogic Training,Yogic Training,Natrual Medicine
Yoga Chaud,Yoga Chaud,Natrual Medicine
Viniyoga,Viniyoga,Natrual Medicine
Yoga Exercise,Yoga Exercise,Natrual Medicine
Yoga Tantrique,Yoga Tantrique,Natrual Medicine
Iyengar Yoga,Iyengar Yoga,Natrual Medicine
Jinana Yoga,Jinana Yoga,Natrual Medicine
Sahaj Yoga,Sahaj Yoga,Natrual Medicine
Yoga Therapy,Yoga Therapy,Natrual Medicine
Yoga Nidra,Yoga Nidra,Natrual Medicine
